access,gateway,3.84352630814083
account,explanation,5.0
account,invoice,5.0
account,statement,4.833042830421159
acoustic,remedy,4.206401149822165
acrylic,cloth,3.3815996326342503
action,adjustment,2.8032752873918385
action,entrance,2.8829491951125763
activity,event,3.928679439853334
activity,music,2.6213536632144274
activity,skiing,2.008826411196344
addition,segment,3.36284067861164
adhesive,glue,4.722608728661116
adult,dentist,2.930962484341246
adult,doctor,3.906558073833426
afternoon,substance,2.7476226033457496
age,childhood,3.7452948484658055
agency,army,4.29992364323597
agency,office,5.0
agency,police,4.643907360089924
agent,spy,4.220007422265026
agreement,contract,4.672583189421907
aim,purpose,5.0
aircraft,balloon,4.239126945284456
aircraft,yacht,3.5890969426919
alarm,horn,4.702256087436629
alarm,press,2.0724619285905725
algorithm,search,1.4930606820293602
alien,stranger,5.0
alloy,metal,5.0
alphabet,script,4.72018410586585
aluminum,oxygen,2.1503643159769528
amount,distance,3.480051472329815
amount,number,5.0
amount,season,2.389646917228708
amusement,athletics,3.996754874215191
amusement,play,3.8870481778003803
amusement,procedure,2.2830319442792106
anatomy,creation,3.3643775586540663
animal,flora,2.1127718708801786
animal,worm,3.136864554897235
ankle,joint,4.238375070010146
anniversary,birthday,4.806158170393121
answer,plea,4.3832533763587955
apparel,dress,5.0
appearance,shadow,4.689165757532988
apple,bank,0.8413170988022917
apple,orange,4.2786993358746015
apple,pod,3.380214683893374
appliance,dryer,4.0047285065072105
appliance,refrigerator,4.3039499746089
approach,swing,4.725871300422825
approval,encouragement,4.116265019848918
approving,interaction,1.3366987551546474
arc,rainbow,4.715385461159863
architecture,engineering,3.5561500354250724
area,patio,3.111413537479098
area,region,5.0
argument,evidence,4.3343224026357525
argument,indication,4.21869614286496
arm,arrow,3.939020061048493
arm,missile,4.535431218577804
armor,mail,4.902822179800036
army,legion,4.685568926954043
aroma,fragrance,5.0
aroma,smell,5.0
arrangement,blizzard,3.083179329818489
arrangement,room,3.506122970871483
article,girl,1.0645619866605591
artillery,gun,5.0
aspen,maple,3.2304441161399318
ass,donkey,4.457759150788304
assembly,crowd,3.2449625608363757
assets,capital,3.9281601733183242
assets,credit,3.7356993069471924
assets,income,4.379198256213429
association,organization,3.676101707631745
athlete,participant,4.35985043211243
athletics,racing,3.967706637922669
athletics,swimming,4.194908530429458
attitude,notice,1.8499323253345663
attitude,study,2.2709478857578134
attorney,lawyer,5.0
attraction,pressure,3.0147877142158093
attraction,quality,3.69004043893782
attribute,condition,3.5420167103518674
average,time,4.292324548543246
baby,computer,1.4457619169738267
bail,bond,5.0
bait,instrument,2.4711370677084057
bait,pump,2.013558049961461
bakery,work,3.3934181023627703
bakery,workplace,3.3934181023627703
balance,gauge,3.4024434217881483
ball,egg,5.0
ball,nut,5.0
ball,poker,3.4185686753319144
ball,sphere,4.9532748503259665
band,circle,5.0
bar,needle,3.402878448922842
bar,rod,3.7738122800520295
barrel,gallon,3.9198046802964486
base,club,4.177442073557647
base,stock,4.446331768863027
baseball,softball,3.725269526999405
basin,vessel,3.819620421264431
basketball,hockey,3.2893776071697673
basketball,squash,3.9633370865120994
bathroom,chamber,3.3862071988473392
battle,fight,5.0
bay,mere,2.8302810559691967
beach,chain,3.0600632513103627
beach,ridge,3.1278719795828964
beam,column,3.919879253638734
beat,meter,5.0
beat,rhythm,5.0
bed,layer,5.0
bedroom,cell,2.9477533198392942
bedroom,construction,2.9166876472528798
bee,insect,4.003835055208357
beef,cattle,4.5726833198415715
beef,meat,3.691171114497754
beginner,novice,5.0
behavior,purpose,3.3941110199495657
belief,magic,3.2248028666694277
belief,purpose,2.9161252958005934
bench,seat,4.41431357770132
bend,curve,5.0
berry,citrus,3.661322374138247
bill,invoice,5.0
billboard,structure,2.2859707752088725
bin,box,2.862429154185069
bin,cup,2.847312494754022
binary,star,4.110189704180283
bird,creature,4.047663574765083
bird,solid,3.9404092368741317
birth,modification,3.6972821117444483
bishop,priest,4.7122890456770055
bit,tool,4.170832799801228
bite,breakfast,3.8162354117248896
bite,taste,4.916980730548339
black,juvenile,1.5786249621079045
blade,projector,2.7797978999736213
blanket,sleeve,3.732073657072648
blizzard,rash,5.0
blow,contact,4.670174595466659
blue,red,3.9759824762027747
board,commission,4.6809429033984955
boat,ferry,4.271569506233792
boat,vessel,4.7302382532428595
body,trunk,5.0
bond,security,4.6323307119723225
bone,skull,4.259308827266742
book,encyclopedia,3.4753508107380764
booklet,reference,3.7141232530556945
boot,kick,5.0
boot,punch,3.916269895623265
bottom,sole,4.454649667469494
boy,male,4.119113125587949
boy,rover,4.37609934165902
brace,stand,3.358121810958216
brain,head,5.0
brake,click,3.533112342922478
branch,department,4.218685148562075
brand,knife,3.6064876200996583
brand,surname,2.8763043084277062
brandy,liquor,4.470922490184824
brass,executive,4.173163921241964
bread,bun,4.693971073937013
break,dash,4.9647578540421895
break,insert,4.341353410062231
brick,cement,3.3836911874183837
brick,strip,3.8087405078855046
broadcast,packet,3.642059254852214
brochure,publication,3.6963380809605018
brochure,reference,3.7141232530556945
brother,member,4.3824473148577
brush,implement,3.520396545699346
budget,fund,4.687655705382677
